"uri","name","author_name","author_movement","genre"
"http://dbpedia.org/resource/Mirrorshades","Mirrorshades","Bruce Sterling","Cyberpunk derivatives","Cyberpunk",""
"http://dbpedia.org/resource/Poirot_Investigates","Poirot Investigates","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Three_Blind_Mice_and_Other_Stories","Three Blind Mice and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Witness_for_the_Prosecution_and_Other_Stories","The Witness for the Prosecution and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Listerdale_Mystery","The Listerdale Mystery","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Double_Sin_and_Other_Stories","Double Sin and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Miss_Marple's_Final_Cases_and_Two_Other_Stories","Miss Marple's Final Cases and Two Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Golden_Ball_and_Other_Stories","The Golden Ball and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Thirteen_Problems","The Thirteen Problems","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Under_Dog_and_Other_Stories","The Under Dog and Other Stories","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/Murder_in_the_Mews","Murder in the Mews","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Harlequin_Tea_Set","The Harlequin Tea Set","Agatha Christie","Golden Age of Detective Fiction","Detective fiction",""
"http://dbpedia.org/resource/The_Casebook_of_Solar_Pons","The Casebook of Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/A_Praed_Street_Dossier","A Praed Street Dossier","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Return_of_Solar_Pons","The Return of Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Final_Adventures_of_Solar_Pons","The Final Adventures of Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Chronicles_of_Solar_Pons","The Chronicles of Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/In_Re:_Sherlock_Holmes","In Re: Sherlock Holmes","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/Mr._Fairlie's_Final_Journey","Mr. Fairlie's Final Journey","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Adventure_of_the_Unique_Dickensians","The Adventure of the Unique Dickensians","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Reminiscences_of_Solar_Pons","The Reminiscences of Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/The_Solar_Pons_Omnibus","The Solar Pons Omnibus","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/Three_Problems_for_Solar_Pons","Three Problems for Solar Pons","August Derleth","Cosmicism","Detective fiction",""
"http://dbpedia.org/resource/Poor_Folk","Poor Folk","Fyodor Dostoyevsky","Literary realism","Epistolary novel",""
"http://dbpedia.org/resource/The_Tenant_of_Wildfell_Hall","The Tenant of Wildfell Hall","Anne Brontë","Realism (arts)","Epistolary novel",""
"http://dbpedia.org/resource/The_Dark_Brotherhood_and_Other_Pieces","The Dark Brotherhood and Other Pieces","H. P. Lovecraft","Cosmicism","Essay",""
"http://dbpedia.org/resource/A_Praed_Street_Dossier","A Praed Street Dossier","August Derleth","Cosmicism","Essay",""
"http://dbpedia.org/resource/Something_About_Cats_and_Other_Pieces","Something About Cats and Other Pieces","H. P. Lovecraft","Cosmicism","Essay",""
"http://dbpedia.org/resource/Marginalia_(collection)","Marginalia (collection)","H. P. Lovecraft","Cosmicism","Essay",""
"http://dbpedia.org/resource/Miscellaneous_Writings_(Lovecraft)","Miscellaneous Writings (Lovecraft)","H. P. Lovecraft","Cosmicism","Essay",""
"http://dbpedia.org/resource/The_Shuttered_Room_and_Other_Pieces","The Shuttered Room and Other Pieces","H. P. Lovecraft","Cosmicism","Essay",""
"http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas","Fear and Loathing in Las Vegas","Hunter S. Thompson","New Journalism","Gonzo journalism",""
"http://dbpedia.org/resource/Hell's_Angels:_The_Strange_and_Terrible_Saga_of_the_Outlaw_Motorcycle_Gangs","Hell's Angels: The Strange and Terrible Saga of the Outlaw Motorcycle Gangs","Hunter S. Thompson","New Journalism","Gonzo journalism",""
"http://dbpedia.org/resource/Fear_and_Loathing_on_the_Campaign_Trail_'72","Fear and Loathing on the Campaign Trail '72","Hunter S. Thompson","New Journalism","Gonzo journalism",""
"http://dbpedia.org/resource/Wuthering_Heights","Wuthering Heights","Emily Brontë","Romanticism","Gothic fiction",""
"http://dbpedia.org/resource/The_Landlady_(Fyodor_Dostoyevsky)","The Landlady (Fyodor Dostoyevsky)","Fyodor Dostoyevsky","Literary realism","Gothic fiction",""
"http://dbpedia.org/resource/Mission_of_Gravity","Mission of Gravity","Hal Clement","Hard science fiction","Hard science fiction",""
"http://dbpedia.org/resource/The_Jewel_of_Seven_Stars","The Jewel of Seven Stars","Bram Stoker","Victorian literature","Horror fiction",""
"http://dbpedia.org/resource/The_Lair_of_the_White_Worm","The Lair of the White Worm","Bram Stoker","Victorian literature","Horror fiction",""
"http://dbpedia.org/resource/The_Thing_on_the_Doorstep_and_Other_Weird_Stories","The Thing on the Doorstep and Other Weird Stories","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Outsider_and_Others","The Outsider and Others","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Dark_Brotherhood_and_Other_Pieces","The Dark Brotherhood and Other Pieces","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Dreams_in_the_Witch_House_and_Other_Weird_Stories","The Dreams in the Witch House and Other Weird Stories","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Cthulhu_Mythos_anthology","Cthulhu Mythos anthology","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Dwellers_in_Darkness","Dwellers in Darkness","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Lonesome_Places","Lonesome Places","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Mask_of_Cthulhu","The Mask of Cthulhu","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Necronomicon:_The_Best_Weird_Tales_of_H._P._Lovecraft:_Commemorative_Edition","Necronomicon: The Best Weird Tales of H. P. Lovecraft: Commemorative Edition","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Mr._George_and_Other_Odd_Persons","Mr. George and Other Odd Persons","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Not_Long_for_this_World","Not Long for this World","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Survivor_and_Others","The Survivor and Others","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Survivor_and_Others","The Survivor and Others","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Shunned_House","The Shunned House","H. P. Lovecraft","Cosmicism","Horror fiction",""
